id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
1,Cowboy Bebop,カウボーイビバップ,Cowboy Bebop,4/19644,8.75,50,2075158,1070085,26,1998-04-03,1999-04-24,tv,finished_airing,r,1440,1;50;46;24;29,14
5,Cowboy Bebop: Tengoku no Tobira,カウボーイビバップ 天国の扉,Cowboy Bebop: The Movie,1439/93480,8.38,249,414864,233440,1,2001-09-01,2001-09-01,movie,finished_airing,r,6911,1;50;24;29,4
6,Trigun,トライガン,Trigun,1130/120002,8.22,427,841117,403798,26,1998-04-01,1998-09-30,tv,finished_airing,pg_13,1480,1;50;2;24;27,11
7,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),Witch Hunter Robin,10/19969,7.24,3533,130885,46467,26,2002-07-03,2002-12-25,tv,finished_airing,pg_13,1500,1;39;8;7;37,14
8,Bouken Ou Beet,冒険王ビィト,Beet the Vandel Buster,7/21569,6.97,4985,16706,6960,52,2004-09-30,2005-09-29,tv,finished_airing,pg,1380,1;2;10;27,18
15,Eyeshield 21,アイシールド21,,1079/133529,7.91,897,196850,93662,145,2005-04-06,2008-03-19,tv,finished_airing,pg_13,1380,27;30;77,36
16,Hachimitsu to Clover,ハチミツとクローバー,Honey and Clover,1301/133577,7.98,777,286855,87204,24,2005-04-15,2005-09-27,tv,finished_airing,pg_13,1419,50;4;8;43;64;22;80,7
17,Hungry Heart: Wild Striker,ハングリーハート Wild Striker,,12/49655,7.57,1894,26874,14087,52,2002-09-11,2003-09-10,tv,finished_airing,pg_13,1400,27;30;77,22
18,Initial D Fourth Stage,頭文字〈イニシャル〉D FOURTH STAGE,,9/10521,8.18,483,217407,120679,24,2004-04-17,2006-02-18,tv,finished_airing,pg_13,1620,1;8;3;42,179
19,Monster,モンスター,Monster,10/18793,8.89,27,1349200,520375,74,2004-04-07,2005-09-28,tv,finished_airing,r+,1440,50;8;7;40;42;41,11
20,Naruto,ナルト,Naruto,1141/142503,8.02,724,3143560,2158261,220,2002-10-03,2007-02-08,tv,finished_airing,pg_13,1404,1;2;10;17;27,1
21,One Piece,ONE PIECE,One Piece,1244/138851,8.73,55,2711226,1547790,0,1999-10-20,,tv,currently_airing,pg_13,1440,1;2;10;27,18
